isbn,name,writer,company,pyear,KDC,img
8809306455949,넛잡: 땅콩 도둑들 - 한국어 더빙 수록,"피터 레프니오티스, 박지윤 외",아트서비스,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306456168,시간을 달리는 소녀 (3disc 일반판) - 본편 + 디렉션파일 + 콘티 디스크,"호소다 마모루 감독, 이시다 타쿠야 외 목소리",아트서비스,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306456939,마야 - 한국어 더빙 수록,"알렉스 슈타더만 감독, 김서영 외 목소리",아트서비스,2015,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306458575,바닷마을 다이어리 - 미니 포토 카드(8종),"아야세 하루카, 나가사와 마사미, 카호 (출연), 고레에다 히로카즈 (감독)",아트서비스,2016,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306458711,바다의 노래,"브렌단 글리슨, 데이비드 라울 (출연), 톰 무어 (감독)",아트서비스,2016,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306503121,슈퍼 배드,피에르 코팽;크리스 리로드 [공]감독,NA,2010,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306506924,먹고 기도하고 사랑하라,라이언 머피 감독,NA,2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306507648,소셜 네트워크 (2disc) - 아웃케이스 없음,"데이빗 핀처 감독, 앤드류 가필드 외 출연",소니픽쳐스,2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306507723,앨빈과 슈퍼밴드,팀 힐 감독,NA,2008,688.2942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809320793126,데어 윌 비 블러드,"폴 토마스 앤더슨 (감독), 다니엘 데이 루이스, 폴 다노 (출연)",그린나래미디어,2015,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809321815162,500일의 썸머,잭 스나이더 감독,NA,2010,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323140019,해리포터 7 : 죽음의 성물 1부 (2disc),"데이비드 예이츠 감독, 다니엘 래드클리프 외 출연",워너브라더스,2011,688.2942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323140071,해리포터 5 : 불사조 기사단 (2disc) - 할인행사,"데이빗 예이츠 감독, 다니엘 래드클리프 외 출연",워너브라더스,2007,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323140088,해리포터 6 : 혼혈왕자 일반판 (2disc),"데이빗 예이츠 감독, 다니엘 래드클리프 외 출연",워너브라더스,2009,688.2942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323141313,아마데우스 SE (2disc) - 할인행사,"밀로스 포만 감독, 톰 헐스 외 출연",워너브라더스,2005,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323142549,인셉션,크리스토퍼 놀란 감독,NA,2010,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809323149029,해리포터와 죽음의 성물 2부 - 일반판 (2disc),"데이비드 예이츠 감독, 다니엘 래드클리프 외 출연",워너브라더스,2011,688.2942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809333430452,마담 프루스트의 비밀정원,"실뱅 쇼메 감독, 안느 르 니 외 출연",콘텐츠게이트,2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
